iter	Logloss
0	0.690125029
1	0.6872181003
2	0.6828869319
3	0.6781194655
4	0.6731754238
5	0.6686180891
6	0.6653560057
7	0.6603150449
8	0.6556902093
9	0.6513345363
10	0.6476781813
11	0.6429340557
12	0.638856015
13	0.6352806091
14	0.6309289447
15	0.6277683064
16	0.6238676168
17	0.6195405863
18	0.6153843767
19	0.611860049
20	0.608813011
21	0.6051845874
22	0.6016301301
23	0.5974754721
24	0.5962404801
25	0.5936036837
26	0.590115628
27	0.5867438236
28	0.5833454455
29	0.5794984203
30	0.576025882
31	0.573305033
32	0.570478213
33	0.5677038936
34	0.5659667839
35	0.5626986229
36	0.5601123228
37	0.557092311
38	0.5536145356
39	0.5501622345
40	0.5482168683
41	0.5458304195
42	0.5428540505
43	0.5400305926
44	0.5382636119
45	0.5347895218
46	0.531645888
47	0.5297345307
48	0.5270836717
49	0.5242590177
50	0.5213892015
51	0.5182680033
52	0.5150329461
53	0.5120430316
54	0.5098909604
55	0.5066380258
56	0.5038281457
57	0.5014382379
58	0.4989455272
59	0.4962444629
60	0.49456855
61	0.4922623392
62	0.4906209849
63	0.4881903762
64	0.4861467976
65	0.4837919655
66	0.4818509959
67	0.4795742358
68	0.4779631081
69	0.4755322731
70	0.4737590208
71	0.4714655149
72	0.4691251658
73	0.4669700235
74	0.4643012548
75	0.4622991206
76	0.4610593117
77	0.4590959064
78	0.4565870641
79	0.4546469672
80	0.4522155826
81	0.4497390682
82	0.4478289071
83	0.4464294628
84	0.4446908983
85	0.442617578
86	0.4407249386
87	0.4393042225
88	0.4373596321
89	0.4360554582
90	0.4340508671
91	0.4318858648
92	0.4298980196
93	0.4287905289
94	0.4269344524
95	0.4248621989
96	0.423506559
97	0.4219087504
98	0.4206583702
99	0.4185460301
100	0.4169346438
101	0.4154372134
102	0.4135771929
103	0.4119888564
104	0.4103289135
105	0.4088800398
106	0.406967454
107	0.4057690249
108	0.4040658595
109	0.4023696124
110	0.4013832868
111	0.3999530986
112	0.3982809034
113	0.3967309402
114	0.3949990353
115	0.3936724905
116	0.3922880464
117	0.3906697742
118	0.3890993797
119	0.3877990852
120	0.386676756
121	0.3851019003
122	0.3834812035
123	0.3818637395
124	0.3803630118
125	0.3795491558
126	0.3785988113
127	0.3769846771
128	0.3760449684
129	0.37498778
130	0.3733818248
131	0.3725679365
132	0.3714643899
133	0.370565964
134	0.3695070622
135	0.368105161
136	0.3668588541
137	0.3653074362
138	0.3639060522
139	0.3626501116
140	0.3612170462
141	0.3600244037
142	0.3590057502
143	0.3578614704
144	0.3566961127
145	0.3559134532
146	0.354619301
147	0.3540294453
148	0.3527515217
149	0.3516463264
150	0.3504379402
151	0.3493740276
152	0.3482929165
153	0.3469954022
154	0.3461714276
155	0.3452929804
156	0.3440465765
157	0.3430972988
158	0.341942771
159	0.3406579616
160	0.3395509235
161	0.3382851229
162	0.3373664597
163	0.3362480745
164	0.3353454461
165	0.3342754881
166	0.333564532
167	0.3329762281
168	0.3318587481
169	0.3310240406
170	0.3301550008
171	0.3290919288
172	0.3281690307
173	0.3271525755
174	0.3260441473
175	0.3249195228
176	0.3243061971
177	0.3233690423
178	0.322371596
179	0.3218547368
180	0.3210147922
181	0.3200171842
182	0.3191935006
183	0.3183464762
184	0.31737153
185	0.3163942887
186	0.3154323061
187	0.3145642361
188	0.3136416936
189	0.3130419456
190	0.3120937347
191	0.3114039534
192	0.3106571456
193	0.3100037656
194	0.3089758016
195	0.3078483323
196	0.3071580984
197	0.3062425387
198	0.3056735669
199	0.3048835366
200	0.303986113
201	0.3029957464
202	0.3022477101
203	0.301448822
204	0.300527217
205	0.2997471438
206	0.2992715027
207	0.2984592632
208	0.2976199005
209	0.2965812683
210	0.2957359573
211	0.2949094287
212	0.2943877851
213	0.2938062377
214	0.2929494179
215	0.2921675989
216	0.2915349734
217	0.2907332404
218	0.2899455378
219	0.2893551325
220	0.2886531636
221	0.2881255716
222	0.2874215336
223	0.2868404712
224	0.2860090611
225	0.2852244296
226	0.2845961361
227	0.2839082621
228	0.283305346
229	0.2824619746
230	0.281661664
231	0.2809578201
232	0.2805027073
233	0.2798431526
234	0.2793098385
235	0.2790042748
236	0.278463493
237	0.2776804132
238	0.2771629075
239	0.2767253488
240	0.276138435
241	0.2754990206
242	0.2748158988
243	0.2744021658
244	0.2738803928
245	0.2732528751
246	0.2728558233
247	0.272241754
248	0.2715906693
249	0.270872795
250	0.2702501265
251	0.269541498
252	0.2689631349
253	0.2682999433
254	0.2675874193
255	0.2669613725
256	0.2665042554
257	0.2659076432
258	0.2653684131
259	0.2648709669
260	0.2644823689
261	0.2637876737
262	0.2632727865
263	0.2627712185
264	0.2621870849
265	0.2617260884
266	0.2616355864
267	0.2611167067
268	0.2606359417
269	0.2598359706
270	0.259155629
271	0.2585977942
272	0.2580414788
273	0.2576850956
274	0.2571642601
275	0.2567721706
276	0.2562990674
277	0.255673554
278	0.2552022772
279	0.2546956499
280	0.2541205519
281	0.2535534552
282	0.2529874575
283	0.2522854239
284	0.2516380569
285	0.251337213
286	0.2505888212
287	0.2502513498
288	0.250045049
289	0.2497040054
290	0.249144635
291	0.2487744477
292	0.2483548633
293	0.2481868065
294	0.2477443824
295	0.2469499879
296	0.246623605
297	0.2462178893
298	0.245669866
299	0.2449359086
300	0.244400283
301	0.2439425679
302	0.2437253079
303	0.2430411193
304	0.2425991964
305	0.242079266
306	0.2414782573
307	0.241044287
308	0.2406612332
309	0.2402612718
310	0.2400514797
311	0.2393764399
312	0.2388637187
313	0.2382228334
314	0.2377945851
315	0.2374629328
316	0.2367673809
317	0.2363592245
318	0.235889354
319	0.2354560141
320	0.2349852061
321	0.2344993333
322	0.234198942
323	0.2337894763
324	0.2333519014
325	0.2328159365
326	0.2323869285
327	0.2322475627
328	0.2315152055
329	0.2310599311
330	0.2309981201
331	0.2308024552
332	0.2304344177
333	0.2298847942
334	0.2294768479
335	0.2291323937
336	0.2287805848
337	0.2282110634
338	0.2276490745
339	0.2272838172
340	0.2270843215
341	0.2270260504
342	0.2268586724
343	0.2263795562
344	0.2259063074
345	0.2254512431
346	0.2250032263
347	0.2245753013
348	0.2241490574
349	0.223526001
350	0.2230647782
351	0.222519228
352	0.222064293
353	0.2216175532
354	0.2213663974
355	0.2212494996
356	0.2210268893
357	0.220577143
358	0.2202719026
359	0.2199592914
360	0.2195970891
361	0.2190757687
362	0.2187610562
363	0.2184667102
364	0.2181822243
